Structure,SMILES,SI Table numbers/name,Formal charge,Formal charge Class,Q_vsa_Ppos,Q_vsa_Ppos Class,vsa_don,vsa_don Class,PA Accum Class,PA Accum,EC accum
,[NH3+]CCNc1c2c([nH+]c(N3CCN(c4ccccc4)CC3)c1)cccc2,2.1,1.243,1,140,1,29.1,1,1,4540 ± 6*,6851 ± 73*
,[NH3+]CCC(c1ccccc1)Nc2cccc(c3n[nH]c4c3cnc(NCCN5CCOCC5)n4)c2,2.2,1.593,1,156,1,29.1,1,1,4367 ± 12*,7457 ± 348*
,[NH3+]CCC(c1ccccc1)Nc2nccc(c(n[nH]3)c4c3nc(NC5CCC(CC5)[NH3+])nc4)n2,2.3,1.997,1,149,1,46.9,1,1,3433 ± 12*,5600 ± 134*
,Fc1c(F)c(-c2n3c(C(Nc4ncc(C(=O)NCCOCC[NH3+])c(C)c4)=CC=C3)nc2)ccc1OC,2.4,1.429,1,80,1,29.1,1,1,2757 ± 277*,6846 ± 157*
,O=S1(c2ccccc2CN(CC1)c3cc(N4CC(CC4)[NH3+])c5cc(C)ccc5[nH+]3)=O,2.5,1.821,1,115,1,23.4,1,1,2667 ± 64*,3360 ± 17*
,O=C(N)c1cc2c(NCCC[NH3+])cc(N3Cc4c(S(=O)(=O)CC3)cccc4)[nH+]c2cc1,2.6,1.47,1,150,1,46.9,1,1,2650 ± 180*,5446 ± 50*
,O=C1NC(C2CN(CCC2)Cc3cn(c4ncc(C[NH3+])cn4)cn3)=NC(c5cccs5)=C1,2.7,1.81,1,142,1,23.4,1,1,2630 ± 370*,2109 ± 178*
,S(=O)(=O)(CC[NH3+])CCNc1c2c([nH+]c(N3Cc4c(S(=O)(=O)CC3)cccc4)c1)ccc(C)c2,2.8,0.61,0,127,1,29.1,1,1,2500 ± 32*,3215 ± 81*
,[NH3+]C[C@H]1c2c(C)cccc2[C@@H]2[C@@]31C[C@H]([NH3+])[C@](C)(C3)CC2,2.9,1.997,1,68,0,35.5,1,1,2490 ± 62*,946 ± 139*
,[NH3+]CCNc1c2c([nH+]c(N3Cc4c(cccc4)CCC3)c1)cccc2,2.1,1.259,1,114,1,29.1,1,1,2487 ± 156*,3150 ± 21*
,O=C(Nc1cc(CCC[NH3+])cnc1)c1cc2N=C(N)CC(C(=O)N(CCC)CCC)=Cc2cc1,2.11,1.221,1,102,1,41.2,1,1,2333 ± 224*,6314 ± 516*
,O=C(Nc1c2c(nc(N3Cc4c(S(=O)(=O)CC3)cccc4)c1)ccc(C)c2)C[NH3+],2.12,1.1,1,111,1,23.4,1,1,2207 ± 223*,2310 ± 166*
,FC(C(F)(C[NH3+])F)(CNc1cc(N2Cc3ccccc3S(=O)(CC2)=O)[nH+]c4ccc(C)cc14)F,2.13,0.401,0,103,1,11.4,0,1,2113 ± 398*,1535 ± 61*
,FC1(c2ccccc2CN(CC1)c3cc(NCC(C)[NH3+])c4cc(C)ccc4[nH+]3)F,2.14,1.245,1,106,1,29.1,1,1,2017 ± 33*,2898 ± 8*
,Clc1ccc(/C=C/c2nc(NCC[NH3+])c3c(n2)ccc(C)c3)cc1,2.15,1.491,1,90,1,23.4,1,1,1943 ± 41*,2926 ± 184*
,[NH3+]CC(c1ccccc1)Nc2nccc(c(n[n-]3)c4c3nc(NCCN5CCOCC5)nc4)n2,2.16,1.509,1,178,1,29.1,1,1,1923 ± 65*,9021 ± 17*
,O=S1(c2ccccc2CN(CC1)c3cc(N4CC(CC4)[NH3+])c5cnccc5n3)=O,2.17,2.177,1,148,1,23.4,1,1,1880 ± 6*,5143 ± 47*
,[NH3+][C@H]1c2nc3c(cc2[C@@H]([NH3+])CC1)cccc3,2.18,1.78,1,65,0,35.5,1,1,1860 ± 45*,2161 ± 66*
,O=S1(c2ccccc2CN(CC1)c3cc(N4C[C@H]5C([C@H]5C4)[NH3+])c6cc(C)ccc6[nH+]3)=O,2.19,2.022,1,106,1,17.7,0,1,1853 ± 18*,4769 ± 9*
,[NH3+]CC[C@H](c1ccccc1)Nc2nccc(c(n[nH]3)c4c3nc(NCCN5CCOCC5)nc4)n2,2.2,1.585,1,178,1,29.1,1,1,1823 ± 98*,6127 ± 151*
,[NH3+]Cc1ccc(-c2ccccc2)cc1,2.21,0.996,1,39,0,17.7,0,1,1817 ± 102*,616 ± 10*
,FC1(c2ccccc2CN(CC1)c3cc(N4CC(CC4)[NH3+])c5cc(C)ccc5[nH+]3)F,2.22,1.813,1,111,1,23.4,1,1,1783 ± 89*,2674 ± 12*
,O=C(C(CC)[NH3+])Nc1cc(N2Cc3ccccc3S(=O)(CC2)=O)nc4ccc(C)cc14,2.23,1.26,1,101,1,23.4,1,1,1757 ± 64*,909 ± 70*
,Fc1cc2c(cc1)CN(c1[nH+]c3c(c(NCC[NH3+])c1)cccc3)CCC2,2.24,1.253,1,114,1,29.1,1,1,1757 ± 206*,3593 ± 45*
,Fc1cc2c(NCC[NH3+])cc(N3Cc4c(cccc4)CCC3)[nH+]c2cc1,2.25,1.202,1,114,1,29.1,1,1,1749 ± 396*,3757 ± 20*
,[NH3+]CC(c1ccsc1)Nc2nccc(c(n[n-]3)c4c3nc(NCCN5CCOCC5)nc4)n2,2.26,1.538,1,178,1,29.1,1,1,1743 ± 7*,6389 ± 192*
,O=C(Nc1cc(CC[NH3+])cnc1)c1cc2N=C(N)CC(C(=O)N(CCC)CCC)=Cc2cc1,2.27,1.214,1,102,1,41.2,1,1,1740 ± 65*,4004 ± 147*
,Clc1c(NC(=O)C=2C(=O)Nc3nc(OC)ncc3C=2)cc(C(=O)NCCC[NH3+])cc1,2.28,0.753,0,132,1,34.8,1,1,1737 ± 63*,2366 ± 283*
,O=C(Nc1c2c(nc(N3Cc4c(cccc4)CCC3)c1)cccc2)C[NH3+],2.29,1.141,1,105,1,23.4,1,1,1727 ± 224*,2847 ± 5*
,O=C(N)[C@H]1c2c(C)cccc2[C@@H]2[C@@]31C[C@H]([NH3+])[C@](C)(C3)CC2,2.3,0.999,1,59,0,35.5,1,1,1623 ± 47*,851 ± 76*
,FC1(F)c2c(cccc2)CN(c2[nH+]c3c(c(NCC([NH3+])(C)C)c2)cc(C)cc3)CC1,2.31,1.268,1,103,1,29.1,1,1,1587 ± 182*,2114 ± 33*
,FC(F)(C[NH3+])CNc1c2c([nH+]c(N3Cc4c(S(=O)(=O)CC3)cccc4)c1)ccc(C)c2,2.32,0.641,0,123,1,29.1,1,1,1583 ± 42*,2492 ± 115*
,O=C(N)c1c(Nc2nc(C(C)(C)C)ccc2)cc(NCC2([NH3+])CC2)nn1,2.33,1.042,1,116,1,46.9,1,1,1577 ± 88*,1181 ± 73*
,S(=O)(=O)(c1cc(O)ccc1)c1cc2c([C@H](C[NH3+])CCC2)cc1,2.34,0.981,1,56,0,17.7,0,1,1573 ± 41*,1254 ± 115*
,O=S1(c2ccccc2CN(CC1)c3cc(NCC(C)[NH3+])c4cc(C)ccc4[nH+]3)=O,2.35,1.228,1,110,1,29.1,1,1,1420 ± 35*,4186 ± 35*
