no.,smiles,label,scaffold_dataset_type,random_dataset_type
Y23F01I,CCCCCCCCCCCCOC(=O)CCN(CCN(C)C)CCC(=O)OCCOCCOCCOC(=O)CCN(CCN(C)C)CCC(=O)OCCCCCCCCCCCC,894.0,train,test
Y23F02I,CCCCCCCCCCCCCCOC(=O)CCN(CCN(C)C)CCC(=O)OCCOCCOCCOC(=O)CCN(CCN(C)C)CCC(=O)OCCCCCCCCCCCCCC,1087.0,train,train
Y23F03I,CCCCCCCCCCCCCCCCCOC(=O)CCN(CCN(C)C)CCC(=O)OCCOCCOCCOC(=O)CCN(CCN(C)C)CCC(=O)OCCCCCCCCCCCCCCCCC,845.6666667,train,train
Y23F04I,CCCCCCCCCCCCOC(=O)CCN(CCN(C)C)CCC(=O)OCCCCOC(=O)CCN(CCN(C)C)CCC(=O)OCCCCCCCCCCCC,5706.0,train,train
Y23F05I,CCCCCCCCCCCCCCOC(=O)CCN(CCN(C)C)CCC(=O)OCCCCOC(=O)CCN(CCN(C)C)CCC(=O)OCCCCCCCCCCCCCC,1025.0,train,test
Y23F06I,CCCCCCCCCCCCCCCCCOC(=O)CCN(CCN(C)C)CCC(=O)OCCCCOC(=O)CCN(CCN(C)C)CCC(=O)OCCCCCCCCCCCCCCCCC,6219.0,train,train
Y23F07I,CCCCCCCCCCCCOC(=O)CCN(CCN(C)C)CCC(=O)OCC(O)COC1=CC=C(C=C1)C(C)(C)C1=CC=C(OCC(O)COC(=O)CCN(CCN(C)C)CCC(=O)OCCCCCCCCCCCC)C=C1,15607.0,train,train
Y23F08I,CCCCCCCCCCCCCCOC(=O)CCN(CCN(C)C)CCC(=O)OCC(O)COC1=CC=C(C=C1)C(C)(C)C1=CC=C(OCC(O)COC(=O)CCN(CCN(C)C)CCC(=O)OCCCCCCCCCCCCCC)C=C1,14531.0,train,train
Y23F09I,CCCCCCCCCCCCCCCCCOC(=O)CCN(CCN(C)C)CCC(=O)OCC(O)COC1=CC=C(C=C1)C(C)(C)C1=CC=C(OCC(O)COC(=O)CCN(CCN(C)C)CCC(=O)OCCCCCCCCCCCCCCCCC)C=C1,4046.666667,train,train
Y23F10I,CCCCCCCCCCCCOC(=O)CCN(CCN(CC)CC)CCC(=O)OCCOCCOCCOC(=O)CCN(CCN(CC)CC)CCC(=O)OCCCCCCCCCCCC,912.3333333,train,test
Y23F11I,CCCCCCCCCCCCCCOC(=O)CCN(CCN(CC)CC)CCC(=O)OCCOCCOCCOC(=O)CCN(CCN(CC)CC)CCC(=O)OCCCCCCCCCCCCCC,660.0,train,test
Y23F12I,CCCCCCCCCCCCCCCCCOC(=O)CCN(CCN(CC)CC)CCC(=O)OCCOCCOCCOC(=O)CCN(CCN(CC)CC)CCC(=O)OCCCCCCCCCCCCCCCCC,1088.333333,train,validate
Y23F13I,CCCCCCCCCCCCOC(=O)CCN(CCN(CC)CC)CCC(=O)OCCCCOC(=O)CCN(CCN(CC)CC)CCC(=O)OCCCCCCCCCCCC,2352.666667,train,validate
Y23F14I,CCCCCCCCCCCCCCOC(=O)CCN(CCN(CC)CC)CCC(=O)OCCCCOC(=O)CCN(CCN(CC)CC)CCC(=O)OCCCCCCCCCCCCCC,21831.0,train,train
Y23F15I,CCCCCCCCCCCCCCCCCOC(=O)CCN(CCN(CC)CC)CCC(=O)OCCCCOC(=O)CCN(CCN(CC)CC)CCC(=O)OCCCCCCCCCCCCCCCCC,4970.0,train,train
