Structure,SMILES,SI Table numbers/name,Formal charge,Formal charge Class,Q_vsa_Ppos,Q_vsa_Ppos Class,vsa_don,vsa_don Class,PA Accum Class,PA Accum,EC accum
,O=C1N(C)c2c(cc(-c3cc([C@H]([NH3+])C)cnc3)cc2)CC1,2.225,0.985,1,42,0,17.7,0,0,72 ± 1,258 ± 28
,Clc1cc(c2cc3c(C(CC3)NC(C4(CC4)[NH3+])=O)nc2)c(c5nnn(C)n5)c(F)c1,2.226,0.772,0,63,0,23.4,1,0,72 ± 8,87 ± 5
,FC(F)(F)c1nc(C(=O)Nc2cc3OC[C@H]([NH3+])Cc3cc2)cc(C)n1,2.227,0.973,0,78,0,23.4,1,0,71 ± 6,127 ± 8
,CC([C@@H](C(OC[C@@H](OCn1c2c(C(NC(N)=N2)=O)nc1)CO)=O)[NH3+])C,2.228,0.352,0,119,1,23.4,1,0,70 ± 7,165 ± 9
,O=C1[C@]2(C)C[C@]3([C@@H]([NH3+])c4c(C)cccc4[C@H]3CC2)C1,2.229,0.989,1,37,0,17.7,0,0,61 ± 8,515 ± 50*
,Fc1c(F)cccc1[C@H]1[C@H]([NH3+])c2c([C@H](OC(=O)N3CCC(N4C(=O)Nc5ncccc45)CC3)CC1)nccc2,2.230,0.888,0,94,1,23.4,1,0,50 ± 2,86 ± 16
,CC([C@@H](C(OCCOCn1c2c(C(NC(N)=N2)=O)nc1)=O)[NH3+])C,2.231,0.36,0,109,1,23.4,1,0,44 ± 5,141 ± 6
,Clc1nc(Cl)cc(C(=O)Nc2cc3c(cc2)C[C@@H]([NH3+])CC3)c1,2.232,0.998,1,69,0,23.4,1,0,42 ± 13,768 ± 24*
,FC(F)(F)c1cnc(C(=O)Nc2cc3OC[C@H]([NH3+])Cc3cc2)nc1,2.233,0.973,0,71,0,23.4,1,0,39 ± 7,418 ± 24*
,O(C)c1c(OC)cc2c([C@H]3N(C[C@H](n4cccc4)[C@@H]([NH3+])C3)CC2)c1,2.234,1.158,1,32,0,17.7,0,0,33 ± 4,20 ± 2
,O(C)c1c(OC)cc2c([C@H]3N(C[C@H](n4cc(C)cc4)[C@@H]([NH3+])C3)CC2)c1,2.235,1.156,1,32,0,17.7,0,0,23 ± 3,17 ± 1
,O=C(N[C@@H]1C(=O)N(Cc2c(OC)ccc3c2cccc3)c2c(N(C(=O)c3ccc(N)cc3)C1)cccc2)[C@@H]([NH3+])C,2.236,0.737,0,110,1,41.2,1,0,14 ± 0,11 ± 0
,NCC(O[C@H]1[C@@]2([H])OC[C@@H](OS(=O)(c3ccc(Br)cc3)=O)[C@@]2([H])OC1)=O,2.237,0.135,0,43,0,0,0,0,2 ± 1,10 ± 1
,O(C)[C@H]1[C@@H](C[NH3+])O[C@@H]1c1onc(-c2ccncc2)n1,2.238,0.996,1,78,0,17.7,0,0,0 ± 0,14 ± 5
,CC(O[C@@H]1CO[C@@]2([H])[C@]1([H])OC[C@@H]2[NH3+])=O,2.239,0.859,0,44,0,17.7,0,0,0 ± 0,372 ± 3*
,NCC(O[C@@H]1CO[C@@]2([H])[C@]1([H])OC[C@@H]2[NH3+])=O,2.240,0.993,1,61,0,17.7,0,0,0 ± 0,23 ± 0

